2017, INVENTORY, 7000
2016, INVENTORY, 7000
2015, INVENTORY, 6000
2014, INVENTORY, 5000
2013, INVENTORY, 6000
2012, INVENTORY, 8000
2011, INVENTORY, 8000
2010, INVENTORY, 10000
2009, INVENTORY, 9000
2008, INVENTORY, 7000
2007, INVENTORY, 8000
2006, INVENTORY, 7000
2005, INVENTORY, 8000
2004, INVENTORY, 7000
2003, INVENTORY, 5000
2002, INVENTORY, 8000
2001, INVENTORY, 7000
2000, INVENTORY, 8000
1999, INVENTORY, 10000
1998, INVENTORY, 9000
1997, INVENTORY, 8000
1996, INVENTORY, 9000
1995, INVENTORY, 12000
1994, INVENTORY, 13000
1993, INVENTORY, 12000
1992, INVENTORY, 15000
1991, INVENTORY, 21000
1990, INVENTORY, 22000
1989, INVENTORY, 28000
1988, INVENTORY, 29000
1987, INVENTORY, 25000
